홈플레이트 (0,0,0), 공 시작 (0, 18.44, 33.55) : z 좌표 마운드 평균 높이 31.75 + 투수 키 1.8

1. 속도 비율 x 방향 0.03, y 방향 0.95, z 방향 0.02 최종 속력
155km/h
(16.80, -2.24, 29.35)
(17.53, -3.14, 27.99)
(18.26, -4.03, 26.53)
(18.99, -4.93, 24.98)
(19.72, -5.83, 23.33)
(20.45, -6.73, 21.58)
(21.18, -7.63, 19.73)
(21.91, -8.53, 17.78)
(22.64, -9.43, 15.74)
(23.37, -10.33, 13.59)
(24.10, -11.23, 11.35)
(24.83, -12.13, 9.01)
(25.56, -13.02, 6.58)
(26.30, -13.92, 4.04)
(27.03, -14.82, 1.41)
(27.76, -15.72, -1.32)

150km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.44)
(1.46, 16.64, 35.24)
(2.19, 15.74, 35.94)
(2.92, 14.84, 36.54)
(3.65, 13.94, 37.04)
(4.38, 13.05, 37.45)
(5.10, 12.15, 37.76)
(5.83, 11.25, 37.96)
(6.56, 10.35, 38.08)
(7.29, 9.45, 38.09)
(8.02, 8.55, 38.00)
(8.75, 7.65, 37.82)
(9.48, 6.75, 37.54)
(10.21, 5.85, 37.16)
(10.94, 4.95, 36.68)
(11.67, 4.05, 36.11)
(12.40, 3.16, 35.43)
(13.13, 2.26, 34.66)
(13.86, 1.36, 33.79)
(14.59, 0.46, 32.83)
(15.31, -0.44, 31.76)
(16.04, -1.34, 30.60)
(16.77, -2.24, 29.34)
(17.50, -3.14, 27.98)
(18.23, -4.04, 26.52)
(18.96, -4.94, 24.97)
(19.69, -5.83, 23.31)
(20.42, -6.73, 21.56)
(21.15, -7.63, 19.71)
(21.88, -8.53, 17.77)
(22.61, -9.43, 15.72)
(23.34, -10.33, 13.58)
(24.07, -11.23, 11.34)
(24.79, -12.13, 9.00)
(25.52, -13.03, 6.56)
(26.25, -13.93, 4.03)
(26.98, -14.83, 1.39)
(27.71, -15.72, -1.34)

149km/h
(0.00, 18.44, 33.55)
(0.73, 17.54, 34.44)
(1.46, 16.64, 35.24)
(2.18, 15.74, 35.94)
(2.91, 14.84, 36.54)
(3.64, 13.94, 37.04)
(4.37, 13.05, 37.45)
(5.10, 12.15, 37.75)
(5.82, 11.25, 37.96)
(6.55, 10.35, 38.07)
(7.28, 9.45, 38.08)
(8.01, 8.55, 38.00)
(8.74, 7.65, 37.81)
(9.46, 6.75, 37.53)
(10.19, 5.85, 37.15)
(10.92, 4.95, 36.68)
(11.65, 4.05, 36.10)
(12.38, 3.15, 35.43)
(13.11, 2.26, 34.65)
(13.83, 1.36, 33.79)
(14.56, 0.46, 32.82)
(15.29, -0.44, 31.75)
(16.02, -1.34, 30.59)
(16.75, -2.24, 29.33)
(17.47, -3.14, 27.97)
(18.20, -4.04, 26.51)
